MessageSize,ReadHeader,Decompress,AllocateAndCreateSchema,WaitForDecompression,Scatter,Total
2550,4184,541,54936,119,5878,65658
2550,4191,535,53540,119,5144,63529
2550,3920,542,50416,123,5838,60839
2550,4162,540,49234,141,5792,59869
2550,3829,527,57526,124,5828,67834
2129,4107,769,101431,110,8911,115328
2129,4118,606,46883,130,6589,58326
2129,4248,557,47882,118,5423,58228
2129,3646,542,42716,119,7902,54925
2129,4140,526,43889,116,5573,54244
2129,4240,535,42217,112,5550,52654
2129,4129,549,46231,118,5387,56414
2129,4184,546,44164,114,5574,54582
2129,3864,547,42967,118,5478,52974
2129,3949,544,42591,118,5603,52805
2129,4100,612,27825,123,5701,38361
2129,4056,541,24171,109,5490,34367
2129,4150,541,22936,116,5502,33245
2129,4046,540,24934,122,7397,37039
2129,4076,539,23762,114,5476,33967
2129,2781,541,23208,115,5657,32302
2129,3982,541,23914,114,5489,34040
2129,4176,537,36287,117,4753,45870
2129,4152,542,22124,111,5530,32459
2129,3577,533,22649,150,5467,32376
2550,4534,546,41667,166,9414,56327
2550,3921,523,25559,117,5870,35990
2550,3925,541,21776,121,5660,32023
2550,3937,541,21502,110,5578,31668
2550,3619,539,21104,103,5546,30911
2550,3829,527,21076,132,5551,31115
2550,3709,529,20902,121,5631,30892
2550,3944,522,21607,121,5553,31747
2550,3657,549,21067,111,5577,30961
2550,2959,530,20521,111,5527,29648
6422,5371,687,153188,258,14074,173578
6422,3853,554,86759,133,8375,99674
6422,4728,540,67745,125,10091,83229
6422,4640,550,63738,114,10100,79142
6422,4169,541,72207,130,8725,85772
6422,4358,544,63452,138,9724,78216
6422,4336,545,60676,139,11049,76745
6422,4492,544,64018,127,9409,78590
6422,4130,539,59467,138,9755,74029
6422,4195,543,72684,137,8576,86135
6502,7227,595,184058,131,21668,213679
6502,5564,548,106035,137,14795,127079
6502,5751,552,99804,142,13739,119988
6502,6003,547,100927,141,12117,119735
6502,5679,550,98908,126,13403,118666
6502,5530,548,101210,128,13118,120534
6502,5569,544,93612,129,13027,112881
6502,5751,547,104267,133,13281,123979
6502,5850,619,103897,151,12208,122725
6502,5609,549,96300,133,28172,130763
6502,5989,566,61303,167,12808,80833
6502,5823,543,43362,116,10823,60667
6502,5733,529,41672,132,10964,59030
6502,5400,547,43950,156,9553,59606
6502,5537,542,44192,171,10789,61231
6502,5440,540,41786,113,10827,58706
6502,5303,532,40403,122,10756,57116
6502,5727,531,41149,129,9382,56918
6502,5680,528,42526,116,10721,59571
6502,5600,556,40230,119,10793,57298
6422,4835,550,138803,131,8176,152495
6422,4415,566,79498,136,12955,97570
6422,4415,540,72843,118,9848,87764
6422,4388,536,69796,134,8561,83415
6422,4421,543,64089,132,9489,78674
6422,4216,552,61619,134,9625,76146
6422,4528,543,64364,143,9431,79009
6422,4497,546,65474,125,8506,79148
6422,4645,542,66217,127,9501,81032
6422,4732,541,64127,138,9684,79222
6422,5227,575,77825,127,6839,90593
6422,4581,530,72869,123,7247,85350
6422,4495,534,73868,142,9975,89014
6422,4326,538,64523,137,9460,78984
6422,4548,550,63257,116,9453,77924
6422,3239,542,61197,121,10970,76069
6422,4503,546,65818,121,8254,79242
6422,4437,542,69459,133,9345,83916
6422,4338,549,62606,120,9463,77076
6422,4412,548,65496,123,9112,79691
6422,4605,541,65945,135,8609,79835
6422,4383,530,70232,132,24703,99980
6422,4485,544,64604,142,7088,76863
6422,4745,533,63926,127,9404,78735
6422,4495,533,63421,140,8471,77060
6422,4249,542,68656,127,9767,83341
6422,4270,574,69758,133,9316,84051
6422,4478,544,66516,136,9623,81297
6422,4261,541,65140,125,9407,79474
6422,4363,575,64967,136,9715,79756
